nameplate,rating_year,test_name,rating_raw,rating_ord,measurement_value,variant
Toyota Prius Prime,2020,small_overlap_driver,Good,4,,4-door hatchback
Toyota Prius Prime,2020,small_overlap_passenger,Acceptable,3,,4-door hatchback
Toyota Prius Prime,2020,moderate_overlap_front,Good,4,,4-door hatchback
Toyota Prius Prime,2020,side_original,Good,4,,4-door hatchback
Toyota Prius Prime,2020,roof_strength,Good,4,,4-door hatchback
Toyota Prius Prime,2020,head_restraints,Good,4,,4-door hatchback
Kia Forte,2020,small_overlap_driver,Good,4,,4-door sedan
Kia Forte,2020,small_overlap_passenger,Good,4,,4-door sedan
Kia Forte,2020,moderate_overlap_front,Good,4,,4-door sedan
Kia Forte,2020,side_original,Good,4,,4-door sedan
Kia Forte,2020,side_updated,Poor,1,,4-door sedan
Kia Forte,2020,roof_strength,Good,4,,4-door sedan
Kia Forte,2020,head_restraints,Good,4,,4-door sedan
Honda Civic,2020,small_overlap_driver,Good,4,,4-door sedan
Honda Civic,2020,small_overlap_passenger,Good,4,,4-door sedan
Honda Civic,2020,moderate_overlap_front,Good,4,,4-door sedan
Honda Civic,2020,side_original,Good,4,,4-door sedan
Honda Civic,2020,roof_strength,Good,4,,4-door sedan
Honda Civic,2020,head_restraints,Good,4,,4-door sedan
Toyota Camry,2020,small_overlap_driver,Good,4,,4-door sedan
Toyota Camry,2020,small_overlap_passenger,Good,4,,4-door sedan
Toyota Camry,2020,moderate_overlap_front,Good,4,,4-door sedan
Toyota Camry,2020,side_original,Good,4,,4-door sedan
Toyota Camry,2020,side_updated,Poor,1,,4-door sedan
Toyota Camry,2020,roof_strength,Good,4,,4-door sedan
Toyota Camry,2020,head_restraints,Good,4,,4-door sedan
Kia Optima,2020,small_overlap_driver,Good,4,,4-door sedan
Kia Optima,2020,small_overlap_passenger,Good,4,,4-door sedan
Kia Optima,2020,moderate_overlap_front,Good,4,,4-door sedan
Kia Optima,2020,side_original,Good,4,,4-door sedan
Kia Optima,2020,roof_strength,Good,4,,4-door sedan
Kia Optima,2020,head_restraints,Good,4,,4-door sedan
Chevrolet Malibu,2020,small_overlap_driver,Good,4,,4-door sedan
Chevrolet Malibu,2020,small_overlap_passenger,Marginal,2,,4-door sedan
Chevrolet Malibu,2020,moderate_overlap_front,Good,4,,4-door sedan
Chevrolet Malibu,2020,side_original,Good,4,,4-door sedan
Chevrolet Malibu,2020,side_updated,Poor,1,,4-door sedan
Chevrolet Malibu,2020,roof_strength,Good,4,,4-door sedan
Chevrolet Malibu,2020,head_restraints,Good,4,,4-door sedan
Ford Fusion,2020,small_overlap_driver,Good,4,,4-door sedan
Ford Fusion,2020,small_overlap_passenger,Good,4,,4-door sedan
Ford Fusion,2020,moderate_overlap_front,Good,4,,4-door sedan
Ford Fusion,2020,side_original,Good,4,,4-door sedan
Ford Fusion,2020,roof_strength,Good,4,,4-door sedan
Nissan Altima,2020,small_overlap_driver,Good,4,,4-door sedan
Nissan Altima,2020,small_overlap_passenger,Good,4,,4-door sedan
Nissan Altima,2020,moderate_overlap_front,Good,4,,4-door sedan
Nissan Altima,2020,side_original,Good,4,,4-door sedan
Nissan Altima,2020,roof_strength,Good,4,,4-door sedan
Nissan Altima,2020,head_restraints,Good,4,,4-door sedan
Volkswagen Jetta,2020,small_overlap_driver,Good,4,,4-door sedan
Volkswagen Jetta,2020,small_overlap_passenger,Good,4,,4-door sedan
Volkswagen Jetta,2020,moderate_overlap_front,Good,4,,4-door sedan
Volkswagen Jetta,2020,side_original,Good,4,,4-door sedan
Volkswagen Jetta,2020,side_updated,Acceptable,3,,4-door sedan
Volkswagen Jetta,2020,roof_strength,Good,4,,4-door sedan
Volkswagen Jetta,2020,head_restraints,Good,4,,4-door sedan
Honda Accord,2020,small_overlap_driver,Good,4,,4-door sedan
Honda Accord,2020,small_overlap_passenger,Good,4,,4-door sedan
Honda Accord,2020,moderate_overlap_front,Good,4,,4-door sedan
Honda Accord,2020,side_original,Good,4,,4-door sedan
Honda Accord,2020,side_updated,Marginal,2,,4-door sedan
Honda Accord,2020,roof_strength,Good,4,,4-door sedan
Honda Accord,2020,head_restraints,Good,4,,4-door sedan
Chrysler 300,2020,small_overlap_driver,Marginal,2,,4-door sedan
Chrysler 300,2020,moderate_overlap_front,Good,4,,4-door sedan
Chrysler 300,2020,side_original,Good,4,,4-door sedan
Chrysler 300,2020,roof_strength,Good,4,,4-door sedan
Chrysler 300,2020,head_restraints,Good,4,,4-door sedan
Chevrolet Impala,2020,small_overlap_driver,Acceptable,3,,4-door sedan
Chevrolet Impala,2020,moderate_overlap_front,Good,4,,4-door sedan
Chevrolet Impala,2020,side_original,Good,4,,4-door sedan
Chevrolet Impala,2020,roof_strength,Good,4,,4-door sedan
Chevrolet Impala,2020,head_restraints,Good,4,,4-door sedan
Dodge Charger,2020,small_overlap_driver,Marginal,2,,4-door sedan
Dodge Charger,2020,moderate_overlap_front,Good,4,,4-door sedan
Dodge Charger,2020,side_original,Good,4,,4-door sedan
Dodge Charger,2020,roof_strength,Good,4,,4-door sedan
Dodge Charger,2020,head_restraints,Good,4,,4-door sedan
Dodge Challenger,2020,small_overlap_driver,Marginal,2,,2-door coupe
Dodge Challenger,2020,moderate_overlap_front,Good,4,,2-door coupe
Dodge Challenger,2020,side_original,Good,4,,2-door coupe
Dodge Challenger,2020,roof_strength,Acceptable,3,,2-door coupe
Dodge Challenger,2020,head_restraints,Acceptable,3,,2-door coupe
Audi A4,2020,small_overlap_driver,Good,4,,4-door sedan
Audi A4,2020,small_overlap_passenger,Good,4,,4-door sedan
Audi A4,2020,moderate_overlap_front,Good,4,,4-door sedan
Audi A4,2020,side_original,Good,4,,4-door sedan
Audi A4,2020,roof_strength,Good,4,,4-door sedan
Audi A4,2020,head_restraints,Good,4,,4-door sedan
Acura TLX,2020,small_overlap_driver,Acceptable,3,,4-door sedan
Acura TLX,2020,moderate_overlap_front,Good,4,,4-door sedan
Acura TLX,2020,side_original,Good,4,,4-door sedan
Acura TLX,2020,roof_strength,Good,4,,4-door sedan
Acura TLX,2020,head_restraints,Good,4,,4-door sedan
Lexus ES 350,2020,small_overlap_driver,Good,4,,4-door sedan
Lexus ES 350,2020,small_overlap_passenger,Good,4,,4-door sedan
Lexus ES 350,2020,moderate_overlap_front,Good,4,,4-door sedan
Lexus ES 350,2020,side_original,Good,4,,4-door sedan
Lexus ES 350,2020,roof_strength,Good,4,,4-door sedan
Lexus ES 350,2020,head_restraints,Good,4,,4-door sedan
Tesla Model 3,2020,small_overlap_driver,Good,4,,4-door sedan
Tesla Model 3,2020,small_overlap_passenger,Good,4,,4-door sedan
Tesla Model 3,2020,moderate_overlap_front,Good,4,,4-door sedan
Tesla Model 3,2020,side_original,Good,4,,4-door sedan
Tesla Model 3,2020,roof_strength,Good,4,,4-door sedan
Tesla Model 3,2020,head_restraints,Good,4,,4-door sedan
Mercedes-Benz C-Class sedan,2020,small_overlap_driver,Good,4,,4-door sedan
Mercedes-Benz C-Class sedan,2020,small_overlap_passenger,Good,4,,4-door sedan
Mercedes-Benz C-Class sedan,2020,moderate_overlap_front,Good,4,,4-door sedan
Mercedes-Benz C-Class sedan,2020,side_original,Good,4,,4-door sedan
Mercedes-Benz C-Class sedan,2020,roof_strength,Good,4,,4-door sedan
Mercedes-Benz C-Class sedan,2020,head_restraints,Good,4,,4-door sedan
Mercedes-Benz E-Class sedan,2020,small_overlap_driver,Good,4,,4-door sedan
Mercedes-Benz E-Class sedan,2020,small_overlap_passenger,Good,4,,4-door sedan
Mercedes-Benz E-Class sedan,2020,moderate_overlap_front,Good,4,,4-door sedan
Mercedes-Benz E-Class sedan,2020,side_original,Good,4,,4-door sedan
Mercedes-Benz E-Class sedan,2020,roof_strength,Good,4,,4-door sedan
Mercedes-Benz E-Class sedan,2020,head_restraints,Good,4,,4-door sedan
Tesla Model S,2020,small_overlap_driver,Good,4,,4-door sedan
Tesla Model S,2020,small_overlap_passenger,Good,4,,4-door sedan
Tesla Model S,2020,moderate_overlap_front,Good,4,,4-door sedan
Tesla Model S,2020,side_original,Good,4,,4-door sedan
Tesla Model S,2020,roof_strength,Good,4,,4-door sedan
Tesla Model S,2020,head_restraints,Good,4,,4-door sedan
Ford Mustang coupe,2020,small_overlap_driver,Acceptable,3,,2-door coupe
Ford Mustang coupe,2020,moderate_overlap_front,Good,4,,2-door coupe
Ford Mustang coupe,2020,side_original,Good,4,,2-door coupe
Ford Mustang coupe,2020,roof_strength,Good,4,,2-door coupe
Ford Mustang coupe,2020,head_restraints,Good,4,,2-door coupe
Chevrolet Camaro coupe,2020,small_overlap_driver,Good,4,,2-door coupe
Chevrolet Camaro coupe,2020,moderate_overlap_front,Good,4,,2-door coupe
Chevrolet Camaro coupe,2020,side_original,Good,4,,2-door coupe
Chevrolet Camaro coupe,2020,roof_strength,Acceptable,3,,2-door coupe
Chevrolet Camaro coupe,2020,head_restraints,Good,4,,2-door coupe
Honda Fit,2020,moderate_overlap_front,Good,4,,4-door wagon
Honda Fit,2020,side_original,Good,4,,4-door wagon
Honda Fit,2020,roof_strength,Good,4,,4-door wagon
Honda Fit,2020,head_restraints,Good,4,,4-door wagon
Kia Niro hybrid,2020,small_overlap_driver,Good,4,,4-door wagon
Kia Niro hybrid,2020,small_overlap_passenger,Good,4,,4-door wagon
Kia Niro hybrid,2020,moderate_overlap_front,Good,4,,4-door wagon
Kia Niro hybrid,2020,side_original,Good,4,,4-door wagon
Kia Niro hybrid,2020,roof_strength,Good,4,,4-door wagon
Kia Niro hybrid,2020,head_restraints,Good,4,,4-door wagon
Kia Soul,2020,small_overlap_driver,Good,4,,4-door wagon
Kia Soul,2020,small_overlap_passenger,Good,4,,4-door wagon
Kia Soul,2020,moderate_overlap_front,Good,4,,4-door wagon
Kia Soul,2020,side_original,Good,4,,4-door wagon
Kia Soul,2020,roof_strength,Good,4,,4-door wagon
Kia Soul,2020,head_restraints,Good,4,,4-door wagon
Subaru Impreza wagon,2020,small_overlap_driver,Good,4,,4-door wagon
Subaru Impreza wagon,2020,small_overlap_passenger,Good,4,,4-door wagon
Subaru Impreza wagon,2020,moderate_overlap_front,Good,4,,4-door wagon
Subaru Impreza wagon,2020,side_original,Good,4,,4-door wagon
Subaru Impreza wagon,2020,side_updated,Poor,1,,4-door wagon
Subaru Impreza wagon,2020,roof_strength,Good,4,,4-door wagon
Subaru Impreza wagon,2020,head_restraints,Good,4,,4-door wagon
Subaru Outback,2020,small_overlap_driver,Good,4,,4-door wagon
Subaru Outback,2020,small_overlap_passenger,Good,4,,4-door wagon
Subaru Outback,2020,moderate_overlap_front,Good,4,,4-door wagon
Subaru Outback,2020,side_original,Good,4,,4-door wagon
Subaru Outback,2020,side_updated,Good,4,,4-door wagon
Subaru Outback,2020,roof_strength,Good,4,,4-door wagon
Subaru Outback,2020,head_restraints,Good,4,,4-door wagon
Kia Sedona,2020,small_overlap_driver,Good,4,,minivan
Kia Sedona,2020,small_overlap_passenger,Acceptable,3,,minivan
Kia Sedona,2020,moderate_overlap_front,Good,4,,minivan
Kia Sedona,2020,side_original,Good,4,,minivan
Kia Sedona,2020,roof_strength,Good,4,,minivan
Kia Sedona,2020,head_restraints,Good,4,,minivan
Toyota Sienna,2020,small_overlap_driver,Acceptable,3,,minivan
Toyota Sienna,2020,small_overlap_passenger,Marginal,2,,minivan
Toyota Sienna,2020,moderate_overlap_front,Good,4,,minivan
Toyota Sienna,2020,side_original,Good,4,,minivan
Toyota Sienna,2020,roof_strength,Good,4,,minivan
Toyota Sienna,2020,head_restraints,Good,4,,minivan
Honda Odyssey,2020,small_overlap_driver,Good,4,,minivan
Honda Odyssey,2020,small_overlap_passenger,Good,4,,minivan
Honda Odyssey,2020,moderate_overlap_front,Good,4,,minivan
Honda Odyssey,2020,side_original,Good,4,,minivan
Honda Odyssey,2020,side_updated,Good,4,,minivan
Honda Odyssey,2020,roof_strength,Good,4,,minivan
Honda Odyssey,2020,head_restraints,Good,4,,minivan
Dodge Grand Caravan,2020,small_overlap_driver,Poor,1,,minivan
Dodge Grand Caravan,2020,moderate_overlap_front,Good,4,,minivan
Dodge Grand Caravan,2020,side_original,Good,4,,minivan
Dodge Grand Caravan,2020,roof_strength,Good,4,,minivan
Dodge Grand Caravan,2020,head_restraints,Good,4,,minivan
Chevrolet Colorado Crew Cab,2020,small_overlap_driver,Good,4,,crew cab pickup
Chevrolet Colorado Crew Cab,2020,small_overlap_passenger,Marginal,2,,crew cab pickup
Chevrolet Colorado Crew Cab,2020,moderate_overlap_front,Good,4,,crew cab pickup
Chevrolet Colorado Crew Cab,2020,side_original,Good,4,,crew cab pickup
Chevrolet Colorado Crew Cab,2020,side_updated,Good,4,,crew cab pickup
Chevrolet Colorado Crew Cab,2020,roof_strength,Good,4,,crew cab pickup
Chevrolet Colorado Crew Cab,2020,head_restraints,Good,4,,crew cab pickup
GMC Canyon Crew Cab,2020,small_overlap_driver,Good,4,,crew cab pickup
GMC Canyon Crew Cab,2020,small_overlap_passenger,Marginal,2,,crew cab pickup
GMC Canyon Crew Cab,2020,moderate_overlap_front,Good,4,,crew cab pickup
GMC Canyon Crew Cab,2020,side_original,Good,4,,crew cab pickup
GMC Canyon Crew Cab,2020,side_updated,Good,4,,crew cab pickup
GMC Canyon Crew Cab,2020,roof_strength,Good,4,,crew cab pickup
GMC Canyon Crew Cab,2020,head_restraints,Good,4,,crew cab pickup
Chevrolet Colorado Extended Cab,2020,small_overlap_driver,Acceptable,3,,extended cab pickup
Chevrolet Colorado Extended Cab,2020,moderate_overlap_front,Good,4,,extended cab pickup
Chevrolet Colorado Extended Cab,2020,side_original,Acceptable,3,,extended cab pickup
Chevrolet Colorado Extended Cab,2020,roof_strength,Good,4,,extended cab pickup
Chevrolet Colorado Extended Cab,2020,head_restraints,Good,4,,extended cab pickup
Ford Ranger Crew Cab,2020,small_overlap_driver,Good,4,,crew cab pickup
Ford Ranger Crew Cab,2020,small_overlap_passenger,Acceptable,3,,crew cab pickup
Ford Ranger Crew Cab,2020,moderate_overlap_front,Good,4,,crew cab pickup
Ford Ranger Crew Cab,2020,side_original,Good,4,,crew cab pickup
Ford Ranger Crew Cab,2020,side_updated,Acceptable,3,,crew cab pickup
Ford Ranger Crew Cab,2020,roof_strength,Good,4,,crew cab pickup
Ford Ranger Crew Cab,2020,head_restraints,Good,4,,crew cab pickup
Nissan Frontier Crew Cab short bed,2020,small_overlap_driver,Marginal,2,,crew cab pickup
Nissan Frontier Crew Cab short bed,2020,small_overlap_passenger,Marginal,2,,crew cab pickup
Nissan Frontier Crew Cab short bed,2020,moderate_overlap_front,Good,4,,crew cab pickup
Nissan Frontier Crew Cab short bed,2020,side_original,Good,4,,crew cab pickup
Nissan Frontier Crew Cab short bed,2020,roof_strength,Good,4,,crew cab pickup
Nissan Frontier Crew Cab short bed,2020,head_restraints,Acceptable,3,,crew cab pickup
Chevrolet Silverado 1500 Crew Cab,2020,small_overlap_driver,Good,4,,crew cab pickup
Chevrolet Silverado 1500 Crew Cab,2020,small_overlap_passenger,Marginal,2,,crew cab pickup
Chevrolet Silverado 1500 Crew Cab,2020,moderate_overlap_front,Good,4,,crew cab pickup
Chevrolet Silverado 1500 Crew Cab,2020,side_original,Good,4,,crew cab pickup
Chevrolet Silverado 1500 Crew Cab,2020,side_updated,Acceptable,3,,crew cab pickup
Chevrolet Silverado 1500 Crew Cab,2020,roof_strength,Good,4,,crew cab pickup
Chevrolet Silverado 1500 Crew Cab,2020,head_restraints,Good,4,,crew cab pickup
GMC Sierra 1500 Crew Cab,2020,small_overlap_driver,Good,4,,crew cab pickup
GMC Sierra 1500 Crew Cab,2020,small_overlap_passenger,Marginal,2,,crew cab pickup
GMC Sierra 1500 Crew Cab,2020,moderate_overlap_front,Good,4,,crew cab pickup
GMC Sierra 1500 Crew Cab,2020,side_original,Good,4,,crew cab pickup
GMC Sierra 1500 Crew Cab,2020,side_updated,Acceptable,3,,crew cab pickup
GMC Sierra 1500 Crew Cab,2020,roof_strength,Good,4,,crew cab pickup
GMC Sierra 1500 Crew Cab,2020,head_restraints,Good,4,,crew cab pickup
Jeep Renegade,2020,small_overlap_driver,Good,4,,4-door SUV
Jeep Renegade,2020,small_overlap_passenger,Acceptable,3,,4-door SUV
Jeep Renegade,2020,moderate_overlap_front,Good,4,,4-door SUV
Jeep Renegade,2020,side_original,Good,4,,4-door SUV
Jeep Renegade,2020,side_updated,Marginal,2,,4-door SUV
Jeep Renegade,2020,roof_strength,Good,4,,4-door SUV
Jeep Renegade,2020,head_restraints,Good,4,,4-door SUV
Honda CR-V,2020,small_overlap_driver,Good,4,,4-door SUV
Honda CR-V,2020,small_overlap_passenger,Good,4,,4-door SUV
Honda CR-V,2020,moderate_overlap_front,Good,4,,4-door SUV
Honda CR-V,2020,side_original,Good,4,,4-door SUV
Honda CR-V,2020,side_updated,Acceptable,3,,4-door SUV
Honda CR-V,2020,roof_strength,Good,4,,4-door SUV
Honda CR-V,2020,head_restraints,Good,4,,4-door SUV
Jeep Compass,2020,small_overlap_driver,Good,4,,4-door SUV
Jeep Compass,2020,small_overlap_passenger,Good,4,,4-door SUV
Jeep Compass,2020,moderate_overlap_front,Good,4,,4-door SUV
Jeep Compass,2020,side_original,Good,4,,4-door SUV
Jeep Compass,2020,side_updated,Marginal,2,,4-door SUV
Jeep Compass,2020,roof_strength,Good,4,,4-door SUV
Jeep Compass,2020,head_restraints,Good,4,,4-door SUV
Nissan Rogue,2020,small_overlap_driver,Good,4,,4-door SUV
Nissan Rogue,2020,small_overlap_passenger,Acceptable,3,,4-door SUV
Nissan Rogue,2020,moderate_overlap_front,Good,4,,4-door SUV
Nissan Rogue,2020,side_original,Good,4,,4-door SUV
Nissan Rogue,2020,roof_strength,Good,4,,4-door SUV
Nissan Rogue,2020,head_restraints,Good,4,,4-door SUV
Chevrolet Equinox,2020,small_overlap_driver,Good,4,,4-door SUV
Chevrolet Equinox,2020,small_overlap_passenger,Good,4,,4-door SUV
Chevrolet Equinox,2020,moderate_overlap_front,Good,4,,4-door SUV
Chevrolet Equinox,2020,side_original,Good,4,,4-door SUV
Chevrolet Equinox,2020,side_updated,Marginal,2,,4-door SUV
Chevrolet Equinox,2020,roof_strength,Good,4,,4-door SUV
Chevrolet Equinox,2020,head_restraints,Good,4,,4-door SUV
Chevrolet Trax,2020,small_overlap_driver,Good,4,,4-door SUV
Chevrolet Trax,2020,small_overlap_passenger,Acceptable,3,,4-door SUV
Chevrolet Trax,2020,moderate_overlap_front,Good,4,,4-door SUV
Chevrolet Trax,2020,side_original,Good,4,,4-door SUV
Chevrolet Trax,2020,side_updated,Acceptable,3,,4-door SUV
Chevrolet Trax,2020,roof_strength,Good,4,,4-door SUV
Chevrolet Trax,2020,head_restraints,Good,4,,4-door SUV
Honda HR-V,2020,small_overlap_driver,Good,4,,4-door SUV
Honda HR-V,2020,small_overlap_passenger,Good,4,,4-door SUV
Honda HR-V,2020,moderate_overlap_front,Good,4,,4-door SUV
Honda HR-V,2020,side_original,Good,4,,4-door SUV
Honda HR-V,2020,side_updated,Poor,1,,4-door SUV
Honda HR-V,2020,roof_strength,Good,4,,4-door SUV
Honda HR-V,2020,head_restraints,Good,4,,4-door SUV
Toyota RAV4,2020,small_overlap_driver,Good,4,,4-door SUV
Toyota RAV4,2020,small_overlap_passenger,Good,4,,4-door SUV
Toyota RAV4,2020,moderate_overlap_front,Good,4,,4-door SUV
Toyota RAV4,2020,side_original,Good,4,,4-door SUV
Toyota RAV4,2020,side_updated,Acceptable,3,,4-door SUV
Toyota RAV4,2020,roof_strength,Good,4,,4-door SUV
Toyota RAV4,2020,head_restraints,Good,4,,4-door SUV
Mitsubishi Outlander Sport,2020,small_overlap_driver,Acceptable,3,,4-door SUV
Mitsubishi Outlander Sport,2020,moderate_overlap_front,Good,4,,4-door SUV
Mitsubishi Outlander Sport,2020,side_original,Good,4,,4-door SUV
Mitsubishi Outlander Sport,2020,roof_strength,Good,4,,4-door SUV
Mitsubishi Outlander Sport,2020,head_restraints,Good,4,,4-door SUV
Subaru Forester,2020,small_overlap_driver,Good,4,,4-door SUV
Subaru Forester,2020,small_overlap_passenger,Good,4,,4-door SUV
Subaru Forester,2020,moderate_overlap_front,Good,4,,4-door SUV
Subaru Forester,2020,side_original,Good,4,,4-door SUV
Subaru Forester,2020,side_updated,Acceptable,3,,4-door SUV
Subaru Forester,2020,roof_strength,Good,4,,4-door SUV
Subaru Forester,2020,head_restraints,Good,4,,4-door SUV
Hyundai Santa Fe,2020,small_overlap_driver,Good,4,,4-door SUV
Hyundai Santa Fe,2020,small_overlap_passenger,Good,4,,4-door SUV
Hyundai Santa Fe,2020,moderate_overlap_front,Good,4,,4-door SUV
Hyundai Santa Fe,2020,side_original,Good,4,,4-door SUV
Hyundai Santa Fe,2020,roof_strength,Good,4,,4-door SUV
Hyundai Santa Fe,2020,head_restraints,Good,4,,4-door SUV
Ford Escape,2020,small_overlap_driver,Good,4,,4-door SUV
Ford Escape,2020,small_overlap_passenger,Good,4,,4-door SUV
Ford Escape,2020,moderate_overlap_front,Good,4,,4-door SUV
Ford Escape,2020,side_original,Good,4,,4-door SUV
Ford Escape,2020,side_updated,Marginal,2,,4-door SUV
Ford Escape,2020,roof_strength,Good,4,,4-door SUV
Ford Escape,2020,head_restraints,Good,4,,4-door SUV
Toyota C-HR,2020,small_overlap_driver,Good,4,,4-door SUV
Toyota C-HR,2020,small_overlap_passenger,Good,4,,4-door SUV
Toyota C-HR,2020,moderate_overlap_front,Good,4,,4-door SUV
Toyota C-HR,2020,side_original,Good,4,,4-door SUV
Toyota C-HR,2020,roof_strength,Good,4,,4-door SUV
Toyota C-HR,2020,head_restraints,Good,4,,4-door SUV
Hyundai Tucson,2020,small_overlap_driver,Good,4,,4-door SUV
Hyundai Tucson,2020,small_overlap_passenger,Good,4,,4-door SUV
Hyundai Tucson,2020,moderate_overlap_front,Good,4,,4-door SUV
Hyundai Tucson,2020,side_original,Good,4,,4-door SUV
Hyundai Tucson,2020,side_updated,Marginal,2,,4-door SUV
Hyundai Tucson,2020,roof_strength,Good,4,,4-door SUV
Hyundai Tucson,2020,head_restraints,Good,4,,4-door SUV
Mitsubishi Outlander,2020,small_overlap_driver,Good,4,,4-door SUV
Mitsubishi Outlander,2020,small_overlap_passenger,Good,4,,4-door SUV
Mitsubishi Outlander,2020,moderate_overlap_front,Good,4,,4-door SUV
Mitsubishi Outlander,2020,side_original,Good,4,,4-door SUV
Mitsubishi Outlander,2020,roof_strength,Good,4,,4-door SUV
Mitsubishi Outlander,2020,head_restraints,Good,4,,4-door SUV
Jeep Grand Cherokee,2020,small_overlap_driver,Marginal,2,,4-door SUV
Jeep Grand Cherokee,2020,small_overlap_passenger,Poor,1,,4-door SUV
Jeep Grand Cherokee,2020,moderate_overlap_front,Good,4,,4-door SUV
Jeep Grand Cherokee,2020,side_original,Good,4,,4-door SUV
Jeep Grand Cherokee,2020,roof_strength,Good,4,,4-door SUV
Jeep Grand Cherokee,2020,head_restraints,Good,4,,4-door SUV
Honda Pilot,2020,small_overlap_driver,Good,4,,4-door SUV
Honda Pilot,2020,small_overlap_passenger,Acceptable,3,,4-door SUV
Honda Pilot,2020,moderate_overlap_front,Good,4,,4-door SUV
Honda Pilot,2020,side_original,Good,4,,4-door SUV
Honda Pilot,2020,side_updated,Marginal,2,,4-door SUV
Honda Pilot,2020,roof_strength,Good,4,,4-door SUV
Honda Pilot,2020,head_restraints,Good,4,,4-door SUV
Chevrolet Traverse,2020,small_overlap_driver,Good,4,,4-door SUV
Chevrolet Traverse,2020,small_overlap_passenger,Good,4,,4-door SUV
Chevrolet Traverse,2020,moderate_overlap_front,Good,4,,4-door SUV
Chevrolet Traverse,2020,side_original,Good,4,,4-door SUV
